AoB,PolicyInsuredPropertyAge,Avg. Corrected Incurred Indemnity
0,1,52000
0,2,9013.310714286
0,3,4574.659444444
0,4,4861.597272727
0,5,3841.436
0,6,2079.211111111
1,7,12500
0,7,11487.075
0,8,1883.333333333
1,9,17412.77
0,9,9245.138181818
1,10,14211.13
0,10,12364.24125
1,11,25000
0,11,8100.110666667
0,12,5594.295294118
1,13,28234.615
0,13,16001.822307692
1,14,12371.608
0,14,14090.228169014
0,15,20786.860114943
1,16,14302.224
0,16,42895.346101695
1,17,28181.863333333
0,17,18807.151272727
1,18,12756.3
0,18,21721.292040816
1,19,28925.315
0,19,14603.210833333
1,20,21489.568
0,20,16604.227777778
1,21,42609.606666667
0,21,16387.860980392
1,22,13083.205
0,22,9586.753428571
1,23,20138.845
0,23,14249.611944444
1,24,34766.832
0,24,14424.487428571
1,25,20401.546
0,25,19912.228181818
1,26,11538.388
0,26,15874.135217391
1,27,5252.25
0,27,9246.810882353
1,28,26423.5875
0,28,15100.0371875
1,29,18112.41
0,29,14548.5295
1,30,12636.856666667
0,30,9226.731304348
1,31,14189.211666667
0,31,12231.154202899
1,32,39353.338333333
0,32,15585.088947368
0,33,13697.379420290
1,34,15002.25
0,34,20470.957962963
1,35,23864.88
0,35,18856.047368421
1,36,33657.28
0,36,20789.142205882
1,37,7862.83
0,37,11979.00825
1,38,22626.252
0,38,15765.650888889
1,39,38519.973333333
0,39,7864.185660377
1,40,20127.466
0,40,10623.708656716
1,41,17500
0,41,14147.298805970
1,42,37852.57
0,42,19102.200555556
1,43,10459.264
0,43,19325.930487805
1,44,43364.976666667
0,44,6453.839444444
0,45,22387.876071429
1,46,47805.4175
0,46,15409.758627451
1,47,43720.302
0,47,13517.786779661
1,48,0
0,48,26656.797647059
1,49,12875
0,49,16429.548
1,50,0
0,50,8167.84025
1,51,20440.77
0,51,7732.745
1,52,10000
0,52,19870.731428571
0,53,13259.20125
1,54,10858.7275
0,54,19016.845581395
1,55,10000
0,55,18587.242820513
1,56,22514.45
0,56,21404.97075
1,57,1737.35
0,57,6711.727377049
1,58,22332.25
0,58,15399.523488372
1,59,62250.06
0,59,8225.295892857
1,60,17520.12
0,60,8609.874313725
1,61,18077.066666667
0,61,11695.225862069
1,62,6666.666666667
0,62,8900.028148148
1,63,52957.114
0,63,4667.084888889
0,64,12417.42025
0,65,7028.915405405
0,66,12465.624
0,67,10904.205588235
1,68,6760.49
0,68,1495.223913043
1,69,44624.77
0,69,7134.151111111
0,70,38369.528
0,71,27371.354705882
1,72,8322.745
0,72,8074.32
0,73,8189.062
0,74,9596.078333333
0,75,7436.82
